Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2002-01-01,2004-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,15.9,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,16.6,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,17.2,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,17,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,16.7,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,16.7,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,17.3,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,17.7,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,17.5,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,17.1,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,16.6,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,16.5,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,16.7,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,16.8,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,16.9,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,16.3,E,
KEN,2018-01-01,2020-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,15.6,E,
KEN,2019-01-01,2021-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,14.9,E,
KEN,2020-01-01,2022-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,14.4,E,
KEN,2021-01-01,2023-12-31,114,'404,Kenya,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20212023,2023,g/cap/d,14.4,E,
KEN,2000-01-01,2000-12-31,114,'404,Kenya,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,0.5,X,
KEN,2001-01-01,2001-12-31,114,'404,Kenya,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,0.5,X,
KEN,2002-01-01,2002-12-31,114,'404,Kenya,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2002,2002,km,0.5,X,
KEN,2003-01-01,2003-12-31,114,'404,Kenya,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2003,2003,km,0.5,X,
KEN,2004-01-01,2004-12-31,114,'404,Kenya,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2004,2004,km,0.3,X,
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2000,2000,Int$/cap,3757,X,
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2001,2001,Int$/cap,3778,X,
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2002,2002,Int$/cap,3681,X,
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2003,2003,Int$/cap,3674,X,
