Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,1,426000,0.4
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,2,426000,0.4
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,3,213000,0.2
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Makueni,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,all,1007000,1.0
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,3+,503500,0.5
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,1,201400,0.2
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,2,302100,0.3
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,3,352450,0.35
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,4,151050,0.15
Feb 2026,KEN,53331000,,Mandera,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,all,1007000,1.0
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,3+,604200,0.6
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,1,151050,0.15
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,2,251750,0.25
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,3,402800,0.4
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,4,201400,0.2
Feb 2026,KEN,53331000,,Mandera,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,all,539000,1.0
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,3+,134750,0.25
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,1,161700,0.3
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,2,242550,0.45
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,3,107800,0.2
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,4,26950,0.05
Feb 2026,KEN,53331000,,Marsabit,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,all,539000,1.0
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,3+,134750,0.25
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,1,188650,0.35
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,2,215600,0.4
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,3,107800,0.2
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,4,26950,0.05
Feb 2026,KEN,53331000,,Marsabit,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,all,994000,1.0
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,3+,198800,0.2
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,1,497000,0.5
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,2,298200,0.3
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,3,198800,0.2
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Meru,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,all,994000,1.0
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,3+,198800,0.2
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,1,497000,0.5
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,2,298200,0.3
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,3,198800,0.2
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Meru,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,all,1355000,1.0
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,3+,67750,0.05
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,1,1084000,0.8
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,2,203250,0.15
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,3,67750,0.05
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Narok,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,all,1355000,1.0
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,3+,67750,0.05
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,1,1084000,0.8
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,2,203250,0.15
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,3,67750,0.05
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Narok,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,all,223500,1.0
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,3+,11175,0.05
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,1,145275,0.65
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,2,67050,0.3
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,3,11175,0.05
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Nyeri,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,all,223500,1.0
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,3+,11175,0.05
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,1,156450,0.7
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,2,55875,0.25
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,3,11175,0.05
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Nyeri,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,all,367000,1.0
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,3+,91750,0.25
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,1,110100,0.3
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,2,165150,0.45
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,3,73400,0.2
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,4,18350,0.05
Feb 2026,KEN,53331000,,Samburu,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,all,367000,1.0
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,3+,73400,0.2
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,1,128450,0.35
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,2,165150,0.45
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,3,55050,0.15
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,4,18350,0.05
Feb 2026,KEN,53331000,,Samburu,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,all,373000,1.0
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,3+,18650,0.05
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,1,242450,0.65
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,2,111900,0.3
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,3,18650,0.05
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Taita Taveta,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,all,373000,1.0
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,3+,18650,0.05
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,1,223800,0.6
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,2,130550,0.35
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,3,18650,0.05
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Taita Taveta,first projection,2026-04-01,2026-06-30,5,0,0
